name,last_name,id,username,password,accState,role,balance
Jocko,Stapley,15778384,jstapleyq,oS5/P4$)C@,activa,empleado,85.37
Bondy,Craigheid,88645240,bcraigheidr,tR0&@Wd,activa,cliente,45.12
Sidonnie,Orehead,93991377,soreheads,"sP9""y3doq",activa,empleado,104.78
Kiah,Mitchenson,91478263,kmitchensont,iD2?t,suspendida,cliente,53.34
Penelope,Rosa,28478804,prosau,dZ1(W<,activa,cliente,23.11
Krispin,Gossage,14602603,kgossagev,nC8$6m,activa,empleado,183.67
Shandra,Sudran,92617562,ssudranw,fN4>K1,activa,cliente,134.22
Lyon,Lacrouts,90854610,llacroutsx,oT1'mh8'VK,suspendida,cliente,17.89
Antone,Jarret,91813078,ajarrety,"hL2`\""Sl",activa,cliente,178.44
Lorenzo,Golton,91158807,lgoltonz,"iH1""BQ",activa,cliente,29.31
Elysee,Crisell,42925448,ecrisell10,rC4&SR,activa,empleado,66.02
Pepe,Ropcke,63277727,propcke11,tU4)grSw,suspendida,cliente,13.45
Shelli,Andrzejewski,8683638,sandrzejewski12,bX1)%na,activa,empleado,154.89
Tremain,MacCracken,7337381,tmaccracken13,xQ2*6Vi*xD,activa,cliente,47.19
Gustav,O'Rodane,23173613,gorodane14,zQ4.0,activa,empleado,103.76
Ram,Nolda,4037702,rnolda15,yU7<U,activa,cliente,19.58
Anatola,Flanders,73648205,aflanders16,jL5<\,activa,cliente,39.01
Candide,Wilcockes,74271914,cwilcockes17,fI6/rMmMG,suspendida,cliente,76.94
Lucine,Frediani,78207503,lfrediani19,gP3|_Ey*,activa,empleado,94.21
Kipper,Strelitzer,67925319,kstrelitzer1a,tH8>6|,activa,empleado,19.25
Karleen,Speakman,63841683,kspeakman1b,fK3#fd,suspendida,empleado,28.32
Billi,Dearth,7003935,bdearth1c,iO1&@8If<,activa,empleado,59.44
Britte,Weigh,42330193,bweigh1d,uF9?=*&q,activa,cliente,77.34
Myrtle,Lathe,51027183,mlathe1e,bZ5?ljO,activa,empleado,45.56
Berte,Perigo,43969325,bperigo1f,fW3/z!%?',suspendida,empleado,67.98
Rafferty,Fabb,39898305,rfabb1g,xW3_,suspendida,empleado,23.12
Thorin,Townley,44237161,ttownley1h,"oL5|""`D",activa,cliente,99.99
Tina,Zoane,69653592,tzoane1i,wD3=d#tIV,activa,empleado,102.54
Evangelin,Reidie,25931920,ereidie1j,fF3+k~Y@%S,suspendida,empleado,88.72
Datha,Dunphie,76612856,ddunphie1k,rO9<kWC,activa,empleado,65.42
Alvis,Fox,87198660,afox1l,hD2%1.!oc,activa,cliente,65.12
Ody,Lyste,67542013,olyste1m,tR9G+,suspendida,cliente,49.98
Eleonore,Warby,73656734,ewarby1n,iX3*Cz/r,activa,empleado,105.23
Jaclyn,Pierton,3583960,jpierton1o,dF2_0IPW3A,suspendida,empleado,87.45
Normy,Almond,33980661,nalmond1p,oL6#V\B,suspendida,cliente,30.78
Giacomo,Hurdman,10975600,ghurdman1q,dI5+ro(,activa,empleado,156.32
Cyril,Snoddy,96561542,csnoddy1r,"dX5""2fvW",suspendida,empleado,24.11
Salomone,Rate,96560578,srate1s,oX4=w`,suspendida,cliente,58.15
Heddi,Brissard,64908299,hbrissard1t,eL0\b,activa,cliente,32.21
Rurik,Bussell,81779621,rbussell1u,tR0?>E3,activa,cliente,52.54
Alfy,Coope,62397704,acoope1v,zV9)inFa*.,suspendida,cliente,93.12
Carmella,Poston,95818367,cposton1w,bA4$t,suspendida,cliente,182.21
Nefen,Kimmins,25053949,nkimmins1x,xH1*DV<@,activa,empleado,123.26
Jorrie,Cargon,24395868,jcargon1y,"aN2%l*P8F""",suspendida,empleado,194.54
Bradford,Langdridge,68008877,blangdridge1z,tT5>R'?N,suspendida,empleado,12.43
Julio,O'Dempsey,60196214,jodempsey20,mL417sAGt,suspendida,cliente,84.64
Edmon,Feehily,41961481,efeehily21,xW5%5C@X,activa,empleado,21.42
Mela,Edmett,57368458,medmett23,sJ1_t9,activa,cliente,49.03
Fallon,Faucett,707044,ffaucett24,jS1=R*K,suspendida,cliente,12.44
Ervin,Gori,43904654,egori25,kA5*NolTg,activa,cliente,65.75
Pearl,Challiner,83964834,pchalliner26,wO6{y?1&,activa,empleado,87.21
Clarice,Skocroft,36678815,cskocroft27,vK6%3mz,suspendida,empleado,182.32
Lucine,Keuntje,48377188,lkeuntje28,zG8'ot,activa,cliente,54.32
Buddy,Keerl,6066431,bkeerl29,"rT8%Zi""3S",suspendida,cliente,72.98
Thatch,Boyne,22325342,tboyne2b,hS1$0XTQz},activa,empleado,172.74
Ortensia,Basindale,83369900,obasindale2c,fB9\lpFe,activa,empleado,112.12
Rainer,Fintoph,26120830,rfintoph2d,kC1*'qnt,suspendida,empleado,143.24
Deane,Rudham,52367927,drudham2e,jZ0&Vx,activa,empleado,191.92
Gertrude,Jorat,53536385,gjorat2f,dP8##iL1\,suspendida,empleado,154.21
Brad,Bewlay,34722096,bbewlay2h,"cV2!8""PZ",activa,cliente,44.94
Leelah,Chiplen,99776567,lchiplen2i,uD3Y,activa,empleado,54.21
Colleen,Ivanaev,12783508,civanaev2j,sB0!*MZ.,activa,empleado,23.16
Selene,McNelis,52279716,smcnelis2k,oJ1'J3,activa,cliente,75.64
Alexia,Zuann,83202462,azuann2l,fQ2`3n|i8_,activa,cliente,21.36
James,Grancher,39233197,jgrancher2m,qN0=i0&.HS,activa,cliente,187.44
Verney,Ace,61578412,vace2o,elpepe,activa,cliente,198.65
Diego,Rojas,44222111,diegothxt,diegroj,activo,empleado,93.53
Jose,David,31625824,sinfonni,123123,activo,cliente,173.23
